0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,label
-8.482666,1.9290657,4.8245206,-6.7939687,-3.7262588,-2.3472886,-2.2496643,-1.5005431,-3.7416582,-2.4682314,1.9282141,0.9168782,-2.3379498,-3.1429334,-2.578863,-1.7895031,-1.6138549,-1.8372146,-1.8990092,-0.8081002,0.2119689,0.2961154,-0.15106022,-1.1693654,-1.2099924,-0.34977698,-0.5849857,-1.5493369,-0.8844012,-0.05049765,0.36118853,0.5342655,-0.3078244,-0.6609484,0.062179327,0.18581925,-0.26741838,0.14287245,0.25569963,-0.4016819,0.5082637,1.0440708,0.4897862,0.38131478,0.050249696,-0.012151122,0.6405641,0.86036944,0.3156597,0.14858907,0.01722318,0.05795741,0.53499585,0.24945927,0.08567971,0.39694917,0.3448729,0.66767997,0.9454039,0.045120608,-0.4310137,-0.20229155,0.30199897,0.38905722,215
-6.327881,3.397215,1.0799513,-6.650031,-0.9698324,-3.8541112,-2.6714606,-0.8573904,-2.5174193,-1.666619,0.90378475,-0.19678688,-2.0660343,-1.6894158,-2.142371,-1.7246529,-1.6067336,-2.058576,-2.2190967,-0.77142787,0.1343031,-0.028095722,0.18551576,-0.84980464,-1.6475174,-0.8706627,-0.15733588,-0.84637046,-0.8857547,-0.49800098,0.39906025,0.7764602,-0.3183458,-0.76360536,0.23143756,0.20584081,-0.424712,0.08134413,0.18876684,-0.25092918,0.58705664,0.84151495,0.35842758,0.35729066,0.14068732,0.059924126,0.55742526,0.7768401,0.285111,0.14121991,0.014656544,-0.13491404,0.5822895,0.3625493,-0.032515883,0.31748062,0.34923923,0.64504594,0.75066036,0.044675965,-0.20076215,-0.26015842,0.17218494,0.43419808,-215
8.091431,-2.133482,-4.673731,4.4001894,0.049303055,-1.4950728,-0.5869913,-0.6869583,-0.69588053,0.2476182,1.9826651,1.579927,-0.66257864,-1.4563833,-0.21962047,-0.109524965,0.3963107,0.9745617,-0.570959,-0.09612489,0.64944935,0.044842243,0.44570994,-0.087727785,-0.9909725,-0.103308916,0.7384417,-0.17435133,-0.54419553,-0.0037282705,0.64793074,0.92135334,-0.26155812,-0.59943295,0.03929138,0.45219296,-0.036395073,0.27089316,0.13728046,-0.65039116,0.19829345,0.32262576,0.16950351,-0.13146786,-0.3433538,-0.2573787,0.078326106,0.46427533,-0.17831683,-0.34519136,-0.24107754,-0.04199618,0.39513987,-0.09852348,-0.35464883,0.034861684,-0.12760997,0.19074923,0.24465996,-0.32565397,-0.30729043,-0.20312595,-0.026485562,0.30537814,-208
10.909027,-2.6901722,-4.2915707,1.7140465,-4.60271,-0.041129112,0.39624023,-0.89386654,-0.450719,-0.96768105,-0.27235794,1.1485348,-0.5807312,-1.175804,-0.66751784,0.43283463,-0.13729334,-1.0864352,-0.60670304,-0.62536204,-0.009129524,-0.07474947,0.7298112,0.5481322,-0.5724852,-0.31968927,-0.15080154,-0.18291032,-0.30643344,0.40223783,0.6187825,0.9317672,0.26029935,-0.79142046,-0.4585955,0.081021294,-0.05880809,0.3080627,0.21375918,-0.7063631,-0.06112647,0.7711725,0.03477782,-0.39125642,-0.044409454,-0.048385024,0.4824825,0.4998219,-0.22806299,-0.16581917,-0.27688396,-0.0045892596,0.5553154,-0.041183203,-0.26779068,-0.020137012,-0.018241733,0.17991674,0.22604287,-0.0031828284,-0.29277015,-0.31041384,0.0018609166,0.18258116,-208
54.802826,-13.57272,-38.26844,15.280227,-4.141676,1.0915551,-4.2591376,-3.8918185,13.978027,4.145906,-9.705528,-2.7207623,1.3148862,0.031469285,1.5430802,-1.3044143,-1.9529772,-1.0729603,1.1601434,-2.9001942,0.9573965,4.2266464,1.1932359,2.8096633,-3.7937398,-3.433135,2.235505,2.4961462,1.0182929,-0.04588628,0.7744696,-0.35675073,-0.4758674,-1.0307453,-0.4320711,0.8707485,-0.5045136,1.0230659,1.1143819,-1.0489075,-1.6593671,0.35125804,0.30718035,0.18498132,0.7799587,-0.11247909,0.17899197,-0.47206777,-1.4629959,0.652038,-0.114471555,-0.8565608,-0.28500414,-0.3786633,0.47791657,0.06955409,2.1666288e-05,-0.5743138,-0.3537798,0.4825549,0.7801044,0.30195686,-1.0184599,0.6738749,-208
0.28393555,2.816822,-0.9429636,-3.8411098,-2.0939345,-0.24159384,0.8770666,-1.5493469,-0.49145067,0.14602566,0.12774754,0.4800434,-0.85299414,-1.8537854,-1.3737063,-0.13393617,0.18405282,-0.15866959,-0.78891146,-0.7308575,-0.0037693977,0.58153105,0.7521417,-0.45826483,-0.9941747,-0.16286254,0.4965315,-0.057902634,-0.5654539,-0.18393016,0.84578705,0.8762114,0.20664716,-0.4348743,-0.37607276,-0.014474094,0.08398694,0.20458451,-0.023409128,-0.9664473,-0.42129838,0.6418158,0.59422636,0.06685877,-0.22534615,-0.10454905,0.459284,0.589579,-0.14945197,-0.10987806,-0.20190597,-0.05291599,0.6348121,0.12218842,-0.20693636,0.058149874,0.023562223,0.24314672,0.36394322,-0.24294631,-0.49106824,-0.19929355,0.18928367,0.103072226,-208
-3.434845,3.290739,5.804919,-4.1380143,-1.7251382,2.1719475,1.4311008,0.06404114,-1.3808757,-0.033024788,2.334528,2.5730314,0.47178102,-0.8146033,-0.97906244,0.6864915,-0.20182002,-0.39278936,0.16455257,0.32860422,1.1174164,0.652318,0.6711917,0.2675476,-0.33137703,0.5481994,0.71000135,-0.67080665,-0.72380745,0.5101709,1.0445268,0.7407019,-0.30577752,-0.705945,-0.2985432,0.2022631,0.06271398,0.008875072,-0.17737246,-0.799217,-0.0151433945,0.7733594,0.119059026,-0.5323197,-0.45473552,-0.1805172,0.4395122,0.36611363,-0.25238073,-0.3951931,-0.41067088,-0.35957718,0.3535322,-0.19107546,-0.6736933,-0.08929074,-0.023406178,0.29487324,0.5489244,-0.19817357,-0.54568374,-0.08321452,0.33320183,0.27991828,-215
-7.8411255,2.7197075,4.729074,-6.156966,-2.4090085,-0.038656235,-0.2895918,-1.2516279,-3.3330088,-1.7588086,2.1496677,0.7738404,-2.1128716,-2.1900449,-1.1263146,0.09463358,-0.2635547,-1.3306574,-1.7900813,-0.8580401,-0.039928198,0.57629347,0.46439147,-1.0941627,-1.4560759,0.12320852,0.4803238,-1.0469376,-0.7486292,0.1941241,0.75914216,1.1203921,-0.10486883,-1.1015453,-0.17405987,0.099650726,-0.0561167,0.56257963,-0.091967106,-1.1476787,0.023545504,1.1234794,0.54271597,-0.002159208,-0.22046602,-0.42939222,0.56899774,1.09998,0.15611666,-0.1442138,-0.20037913,-0.01596129,0.8818842,0.3309815,-0.22547781,0.13564676,0.08999407,0.3579334,0.60978335,-0.3202083,-0.5809816,-0.16996282,0.11222166,0.19398865,-211
-11.092926,4.810568,9.801492,-4.858136,-0.9489746,0.32881784,-0.006669998,1.0524826,-1.3126866,-0.43305373,3.477458,2.4893684,-0.17949945,-0.7001475,-0.4201238,0.24977112,0.3875295,-0.412727,-0.15647954,1.2915723,1.0579844,0.4314332,0.54970765,-0.6238308,-0.80604243,0.7887211,0.4298755,-1.1558745,-0.57505953,0.062796235,0.80345035,1.0095851,-0.1796643,-0.72833145,0.017764807,-0.1496287,-0.07235044,0.45031124,-0.34363842,-1.1063614,0.11480188,0.7279695,-0.008097231,-0.07327853,-0.34547502,-0.45486307,0.14633438,0.6454538,-0.16533709,-0.4089048,-0.2810129,-0.1358918,0.60360324,0.057903215,-0.53224385,0.1112538,0.05538255,0.36549395,0.6668102,-0.24597348,-0.63298297,-0.30858004,0.13358754,0.36537653,-215
0.59887695,-0.68573,0.39915276,0.38807487,-0.7407408,-0.2416377,-1.3320193,-0.80935955,-2.3641434,-1.5167063,1.0351801,0.88705254,0.20470701,-1.0765685,-0.99680305,-0.73379827,0.68990695,0.47988808,-0.48838508,-0.7319263,-0.5603614,0.08742714,-0.0060964823,-0.70261955,-1.1907134,0.098045826,0.34658515,-0.14286256,-0.32654047,-0.18989086,0.40412784,0.4844756,-0.010082349,-0.24721515,0.1688652,-0.143865,-0.24458653,0.55974627,0.113995075,-0.6691993,0.04163766,0.6531204,0.25458983,-0.07686214,-0.24059355,-0.15491927,0.26301235,0.5162096,-0.070149064,-0.011074662,0.013276339,0.0741896,0.6552422,0.06198618,-0.15285766,0.29727548,-0.18974024,0.05241078,0.46920973,-0.22934486,-0.4358735,-0.12424445,0.034677565,0.2739022,220
